"","rater1","rater2","rater3","rater4"
"1",1,3,2,1
"2",1,1,3,3
"3",2,3,3,1
"4",2,4,3,2
"5",3,3,2,1
"6",3,4,4,1
"7",2,2,3,3
"8",3,4,3,4
"9",1,3,2,3
"10",2,2,2,1
"11",1,1,1,2
"12",1,1,3,1
"13",3,4,4,4
"14",1,1,2,1
"15",2,3,4,3
"16",1,2,3,2
"17",2,3,4,3
"18",2,2,2,2
"19",3,3,4,2
"20",1,1,1,1
"21",3,3,4,2
"22",2,2,2,3
"23",3,2,2,1
"24",2,3,2,1
"25",2,3,2,3
"26",3,4,4,4
"27",2,3,2,1
"28",3,3,2,2
"29",3,2,2,1
"30",3,2,2,3
"31",2,3,2,2
"32",2,3,2,1
"33",3,4,3,1
"34",3,2,3,2
"35",2,4,2,3
"36",3,2,3,3
"37",3,1,1,1
"38",3,2,1,2
"39",2,3,4,3
"40",3,4,4,3
"41",2,2,4,2
"42",3,3,3,3
"43",3,2,3,1
"44",4,3,3,2
"45",3,2,3,1
"46",3,1,3,1
"47",3,4,4,3
"48",3,3,1,1
"49",3,4,2,1
"50",3,3,3,2
"51",2,2,4,2
"52",2,2,2,1
"53",2,2,3,2
"54",3,4,5,2
"55",3,1,1,1
"56",3,4,3,1
"57",2,1,2,1
"58",3,2,2,2
"59",3,1,3,3
"60",2,2,1,2
"61",3,3,4,1
"62",2,2,3,2
"63",3,2,2,3
"64",3,1,3,2
"65",3,1,1,2
"66",3,2,2,2
"67",3,1,3,2
"68",4,3,4,3
