,Ji,Ran,Wang,Yiming
0,,,1.0,
1,,,,3.0
2,1.0,,,
3,,2.0,,
4,,,3.0,
5,,,,1.0
6,1.0,,,
7,,3.0,,
8,,,1.0,
9,,,,3.0
10,2.0,,,
11,,3.0,,
12,,,2.0,
13,,,,4.0
14,2.0,,,
15,,3.0,,
16,,,1.0,
17,,,,3.0
18,3.0,,,
19,,2.0,,
20,,,1.0,
21,,,,4.0
22,3.0,,,
23,,4.0,,
24,,,3.0,
25,,,,2.0
26,2.0,,,
27,,3.0,,
28,,,4.0,
29,,,,4.0
30,3.0,,,
31,,3.0,,
32,,,3.0,
33,,,,3.0
34,1.0,,,
35,,2.0,,
36,,,1.0,
37,,,,2.0
38,2.0,,,
39,,2.0,,
40,,,2.0,
41,,,,1.0
42,1.0,,,
43,,1.0,,
44,,,1.0,
45,,,,1.0
46,1.0,,,
47,,3.0,,
48,,,4.0,
49,,,,4.0
50,3.0,,,
51,,4.0,,
52,,,1.0,
53,,,,1.0
54,1.0,,,
55,,2.0,,
56,,,3.0,
57,,,,3.0
58,2.0,,,
59,,4.0,,
60,,,2.0,
61,,,,2.0
62,1.0,,,
63,,3.0,,
64,,,3.0,
65,,,,3.0
66,2.0,,,
67,,4.0,,
68,,,2.0,
69,,,,2.0
70,2.0,,,
71,,2.0,,
72,,,2.0,
73,,,,3.0
74,3.0,,,
75,,4.0,,
76,,,1.0,
77,,,,1.0
78,1.0,,,
79,,1.0,,
80,,,2.0,
81,,,,3.0
82,3.0,,,
83,,4.0,,
84,,,3.0,
85,,,,2.0
86,2.0,,,
87,,2.0,,
88,,,1.0,
89,,,,2.0
90,3.0,,,
91,,2.0,,
92,,,1.0,
93,,,,3.0
94,2.0,,,
95,,2.0,,
96,,,3.0,
97,,,,3.0
98,2.0,,,
99,,2.0,,
100,,,4.0,
101,,,,4.0
102,3.0,,,
103,,4.0,,
104,,,1.0,
105,,,,3.0
106,2.0,,,
107,,2.0,,
108,,,2.0,
109,,,,3.0
110,3.0,,,
111,,2.0,,
112,,,1.0,
113,,,,2.0
114,3.0,,,
115,,2.0,,
116,,,3.0,
117,,,,2.0
118,3.0,,,
119,,2.0,,
120,,,2.0,
121,,,,3.0
122,2.0,,,
123,,2.0,,
124,,,1.0,
125,,,,3.0
126,2.0,,,
127,,2.0,,
128,,,1.0,
129,,,,4.0
130,3.0,,,
131,,3.0,,
132,,,2.0,
133,,,,2.0
134,3.0,,,
135,,3.0,,
136,,,3.0,
137,,,,4.0
138,2.0,,,
139,,2.0,,
140,,,3.0,
141,,,,2.0
142,3.0,,,
143,,3.0,,
144,,,1.0,
145,,,,1.0
146,3.0,,,
147,,1.0,,
148,,,2.0,
149,,,,2.0
150,3.0,,,
151,,1.0,,
152,,,3.0,
153,,,,3.0
154,2.0,,,
155,,4.0,,
156,,,3.0,
157,,,,4.0
158,3.0,,,
159,,4.0,,
160,,,2.0,
161,,,,2.0
162,2.0,,,
163,,4.0,,
164,,,3.0,
165,,,,3.0
166,3.0,,,
167,,3.0,,
168,,,1.0,
169,,,,2.0
170,3.0,,,
171,,3.0,,
172,,,2.0,
173,,,,3.0
174,4.0,,,
175,,3.0,,
176,,,1.0,
177,,,,2.0
178,3.0,,,
179,,3.0,,
180,,,1.0,
181,,,,1.0
182,3.0,,,
183,,3.0,,
184,,,3.0,
185,,,,4.0
186,3.0,,,
187,,4.0,,
188,,,1.0,
189,,,,3.0
190,3.0,,,
191,,1.0,,
192,,,1.0,
193,,,,4.0
194,3.0,,,
195,,2.0,,
196,,,2.0,
197,,,,3.0
198,3.0,,,
199,,3.0,,
200,,,2.0,
201,,,,2.0
202,2.0,,,
203,,4.0,,
204,,,1.0,
205,,,,2.0
206,2.0,,,
207,,2.0,,
208,,,2.0,
209,,,,2.0
210,2.0,,,
211,,3.0,,
212,,,2.0,
213,,,,4.0
214,3.0,,,
215,,5.0,,
216,,,1.0,
217,,,,1.0
218,3.0,,,
219,,1.0,,
220,,,1.0,
221,,,,4.0
222,3.0,,,
223,,3.0,,
224,,,1.0,
225,,,,1.0
226,2.0,,,
227,,2.0,,
228,,,2.0,
229,,,,2.0
230,3.0,,,
231,,2.0,,
232,,,3.0,
233,,,,1.0
234,3.0,,,
235,,3.0,,
236,,,2.0,
237,,,,2.0
238,2.0,,,
239,,1.0,,
240,,,1.0,
241,,,,3.0
242,3.0,,,
243,,4.0,,
244,,,2.0,
245,,,,2.0
246,2.0,,,
247,,3.0,,
248,,,3.0,
249,,,,2.0
250,3.0,,,
251,,2.0,,
252,,,2.0,
253,,,,1.0
254,3.0,,,
255,,3.0,,
256,,,2.0,
257,,,,1.0
258,3.0,,,
259,,1.0,,
260,,,2.0,
261,,,,2.0
262,3.0,,,
263,,2.0,,
264,,,2.0,
265,,,,1.0
266,3.0,,,
267,,3.0,,
268,,,3.0,
269,,,,3.0
270,4.0,,,
271,,4.0,,
